,title,description,detectType,detectCon,detectLanguage,tags,attackTechnique,attackSoftware,references,pattern,dataSource,dataType,dataCollector,dataForwardTo,dataparser,dataParser,dataStorage,dataTable,dataIndex,dataAccess,dataMap,kqlVar,kqlTable,kqlQuery
1,rolemgt_pid_0030_priv_auth_admin,"['Entra ID Privileged Authentication Admin', 'Any Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains '7be44c8a-adaf-4e2a-84d6-ab2649e08a13'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
2,rolemgt_pid_0025_office_apps_admin,"['Entra ID Office Apps Admin', 'Any Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains '2b745bdf-0803-4d80-aa65-822c4493daac'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
3,rolemgt_pid_0001_global_admin,"['Entra ID Global Admin', 'Role Add, Remove, or Modify Activity']",single_line_match,1,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains '62e90394-69f5-4237-9190-012177145e10'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
4,rolemgt_pid_0005_auth_policy_admin,"['Entra ID Auth Policy Admin', 'Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains '0526716b-113d-4c15-b2c8-68e3c22b9f80'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
5,rolemgt_pid_0018_global_reader,"['Entra ID Global Reader', 'Any Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains 'f2ef992c-3afb-46b9-b7cf-a126ee74c451'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
6,rolemgt_pid_0020_helpdesk_admin,"['Entra ID Helpdesk Admin', 'Any Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains '729827e3-9c14-49f7-bb1b-9608f156bbb8'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
7,rolemgt_pid_0028_security_admin,"['Entra ID Security Admin', 'Any Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains '194ae4cb-b126-40b2-bd5b-6091b380977d'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
8,rolemgt_pid_0011_cloud_device_admin,"['Entra ID Cloud Device Security', 'Any Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains '7698a772-787b-4ac8-901f-60d6b08affd2'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
9,rolemgt_pid_0026_network_admin,"['Entra ID Network', 'Any Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains 'd37c8bed-0711-4417-ba38-b4abe66ce4c2'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
10,rolemgt_pid_0022_hybrid_id_admin,"['Entra ID Hybrid ID Admin', 'Any Role Add, Remove, or Modify Activity']",single_line_match,3,kql,[None],['t1098'],,['ref_role_management.md'],[None],['entra_id'],"['core_directory', 'privileged_identity_management']",azure_active_directory,msft_sentinel,,,azure_monitor,audit_logs,role_management,api_azure_monitor,,,AuditLogs,"| where Category =~ 'RoleManagement'
| where TargetResources contains '8ac3fc64-6eca-42ea-9e69-59f4c7b60eb2'
| extend PimLog = iff(LoggedByService =~ 'PIM' or Identity =~ 'MS-PIM', 'TRUE', 'FALSE')"
